"ID";"ARCHIP";"ISLAND";"LONG";"LAT";"Realm";"Area";"Dist";"SLMP";"Elev";"Lat";"pop";"static_modif";"modif_change";"GDP";"connect";"CP";"TSFI";"SR_nat";"FD_nat";"SES_FD_nat";"PD_nat";"SES_PD_nat";"SR_alien";"FD_alien";"SES_FD_alien";"PD_alien";"SES_PD_alien"
"54512";"Chagos Archipelago";"Ile du Coin";71,766541;-5,453884;"Oriental";-0,977154087807968;0,604320915467625;-0,482372020391812;-1,20632258074364;-1,6489961013995;-1,39662787484997;-0,750696483162774;-0,317785623107429;-1,47000753957289;-1,97238294687881;NA;NA;-2,39175361090906;-5,50460285591829;-1,37212765178178;-2,73821960657368;-0,586337423621972;-0,331622696279836;0,426546645194513;0,952721548674228;0,108826122279283;1,09636380175359
"54522";"Seychelles";"D'Arros Island";53,298464;-5,415731;"Madagascan";-0,970980136758006;0,292737385533751;-0,519508643806833;-0,771325500535538;-1,65207680124775;-0,901916349433864;-0,738798442317556;-0,313481011876951;-1,47000753957289;-1,14162737990484;-0,873512454605815;NA;-1,53797670517413;-2,63960049303523;-2,0304922841846;-1,66462831551093;-0,594398623145376;0,464223527777256;0,75076549063998;-0,0513201352846034;0,357209629252502;-0,310016735460652
"54532";"Chagos Archipelago";"Ile Boddam";72,205857;-5,357619;"Oriental";-1,07702032895494;0,587077309097936;-0,482372020391812;-0,890766967812811;-1,65676910931215;-1,39662787484997;-0,750696483162774;-0,317785623107429;-1,47000753957289;-1,97238294687881;NA;NA;-2,01517246073836;-2,44417068512454;-1,61178651836017;-2,1332182593957;-0,0998125542089148;-0,331622696279836;0,426546645194513;0,981023646051561;0,108826122279283;1,22299124141163
"54543";"Chagos Archipelago";"Ile Pierre";71,737781;-5,29398;"Oriental";-0,987685907351172;0,595014317274177;-0,482372020391812;-1,6234644109763;-1,66190770018685;-1,39662787484997;-0,750696483162774;-0,317785623107429;-1,47000753957289;-1,97238294687881;NA;NA;-2,01517246073836;-2,44417068512454;-0,914783249305426;-2,1332182593957;-0,408975768398165;-0,331622696279836;0,426546645194513;1,03958545110827;0,108826122279283;1,16453462705208
"54618";"Seychelles";"Saint Anne Island";55,501058;-4,607185;"Madagascan";-1,03808954085631;0,38121777118005;-0,487677252308244;-1,93902002390713;-1,71736360803878;0,578525996387441;0,011120407473318;1,37974705996069;-0,230884323419457;-0,31087181293088;NA;NA;-1,03543800258727;-0,796951732867056;-0,949452167804707;-0,928582348168995;-0,0207242019040897;-0,615672508560102;-0,199590867499793;0,173321997372797;-1,00456417459941;-0,46951801350471
"54621";"Seychelles";"Fregate";55,941317;-4,586333;"Madagascan";-0,874884168935144;0,406773791305645;-0,487677252308244;-0,938732397132245;-1,71904732237935;-0,881025624395058;-0,749412521194047;-0,317785623107429;-0,214793904976344;-0,31087181293088;-0,873512454605815;NA;-0,995891848015578;-0,729269950081999;-0,94576809842568;-0,878501978354243;0,236606518163458;-0,331622696279836;0,270376690544522;0,364348288127152;-0,450296397432723;-0,0955409740755021
"54624";"Seychelles";"Mahe";55,46728;-4,676443;"Madagascan";0,655245549893547;0,382998802316232;-0,519508643806833;1,07960202143737;-1,71177130572731;1,13032398261381;0,448009551433089;1,78407531163266;1,32947805895596;0,175089041014231;NA;NA;-0,882113789335286;-0,419892835337281;-0,719269328294928;-0,570424167031467;0,860133528157603;0,872976729436578;0,973813628791675;-0,136430195959403;1,06557450872044;-0,0575296565721111
"54628";"Seychelles";"Silhouette";55,230665;-4,487211;"Madagascan";-0,0884520884120989;0,356943688043794;-0,498287716141107;0,86394784798;-1,72705102144253;-0,461145738903569;-0,60843360136844;0,736913566678599;0,115539604210681;-0,31087181293088;-1,39112379503861;-0,253314703088076;-0,995891848015578;-0,756819229034303;-0,927454063782102;-0,810287936758665;0,396748569965602;-0,331622696279836;0,0725235369117895;-0,220069958165283;-0,10773785537097;0,658839500344178
"54630";"Seychelles";"Ile du Nord";55,244573;-4,392996;"Madagascan";-0,904149076020002;0,352382593025696;-0,492982484224675;-0,847376959095752;-1,73465850017821;-0,897257479680011;-0,653201039442573;0,0908497096539237;-0,00272396438834593;-0,31087181293088;NA;NA;-0,957178306233369;-0,679921528454442;-0,880298331771375;-0,768501024959491;0,45511522192902;-0,615672508560102;-0,111342161336368;0,203035982378432;-0,618342735731039;0,332370293885426
"54633";"Seychelles";"La Digue";55,837878;-4,360895;"Madagascan";-0,327202730084665;0,387399326373981;-0,487677252308244;0,259072305583341;-1,73725052559767;0,505912813099513;-0,496900180188476;1,42550987592369;0,62156421762102;-0,31087181293088;NA;NA;-0,919263038965177;-0,375682837228593;0,0261417486873054;-0,640068723080074;0,723345849514272;0,116574654122756;0,610644007821962;-0,0431043813407625;-0,165735221595221;-0,817713047523546
